method,model,execFolder,round,value
SAIS,demos.UnidentifiableProduct$Builder,exec_7,3,16.599909453044422
SAIS,demos.UnidentifiableProduct$Builder,exec_7,4,17.825688407422728
SAIS,demos.UnidentifiableProduct$Builder,exec_7,5,22.757019705577505
SAIS,demos.UnidentifiableProduct$Builder,exec_7,6,36.95737012822872
SAIS,demos.UnidentifiableProduct$Builder,exec_7,7,73.38292231230567
SAIS,demos.UnidentifiableProduct$Builder,exec_7,8,132.8686056384726
SAIS,demos.UnidentifiableProduct$Builder,exec_7,9,263.4957638356224
SAIS,demos.UnidentifiableProduct$Builder,exec_7,10,505.26918201337804
SAIS,demos.UnidentifiableProduct$Builder,exec_7,11,986.9561315419256
SAIS,demos.UnidentifiableProduct$Builder,exec_7,12,1907.9809829974622
SAIS,demos.UnidentifiableProduct$Builder,exec_7,13,3727.3772397656203
SAIS,demos.UnidentifiableProduct$Builder,exec_7,14,7464.9064751869955
SAIS,demos.UnidentifiableProduct$Builder,exec_7,15,14844.175640076117
SAIS,blang.validation.internals.fixtures.Diffusion$Builder,exec_10,1,9.554523710874415
SAIS,blang.validation.internals.fixtures.Diffusion$Builder,exec_10,2,9.922482392936931
SAIS,blang.validation.internals.fixtures.Diffusion$Builder,exec_10,3,15.853680108061358
SAIS,blang.validation.internals.fixtures.Diffusion$Builder,exec_10,4,19.609295672162034
SAIS,blang.validation.internals.fixtures.Diffusion$Builder,exec_10,5,25.029092065923773
SAIS,blang.validation.internals.fixtures.Diffusion$Builder,exec_10,6,67.49184621586161
SAIS,blang.validation.internals.fixtures.Diffusion$Builder,exec_10,7,107.29757196106272
SAIS,blang.validation.internals.fixtures.Diffusion$Builder,exec_10,8,156.49239221637222
SAIS,blang.validation.internals.fixtures.Diffusion$Builder,exec_10,9,316.2672562165093
SAIS,blang.validation.internals.fixtures.Diffusion$Builder,exec_10,10,635.6659478178666
SAIS,blang.validation.internals.fixtures.Diffusion$Builder,exec_10,11,1262.897701819158
SAIS,blang.validation.internals.fixtures.Diffusion$Builder,exec_10,12,2403.686945244501
SAIS,blang.validation.internals.fixtures.Diffusion$Builder,exec_10,13,4752.719894941181
SAIS,blang.validation.internals.fixtures.Diffusion$Builder,exec_10,14,9352.221342894694
SAIS,blang.validation.internals.fixtures.Diffusion$Builder,exec_10,15,18833.1574154332
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_11,1,9.005355227358141
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_11,2,4.986747568224864
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_11,3,9.168971925194006
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_11,4,13.858467287688521
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_11,5,22.56456971634488
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_11,6,39.74959704440078
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_11,7,89.75840916497214
SSMC,blang.validation.internals.fixtures.Diffusion$Builder,exec_11,8,164.89729549762814
