method,model,execFolder,round,value
SAIS,demos.UnidentifiableProduct$Builder,exec_1,13,-11.873297830272104
SAIS,demos.UnidentifiableProduct$Builder,exec_1,14,-11.879780718032727
PT-10,demos.XY$Builder,exec_25,0,13.583343127630185
PT-10,demos.XY$Builder,exec_25,1,13.590038218073662
PT-10,demos.XY$Builder,exec_25,2,15.996513846752277
PT-10,demos.XY$Builder,exec_25,3,16.846738854159494
PT-10,demos.XY$Builder,exec_25,4,15.605695550525091
PT-10,demos.XY$Builder,exec_25,5,16.16935566648646
PT-10,demos.XY$Builder,exec_25,6,15.925732449991028
PT-10,demos.XY$Builder,exec_25,7,16.313867966768065
PT-10,demos.XY$Builder,exec_25,8,15.981787350635297
PT-10,demos.XY$Builder,exec_25,9,15.873141731994249
PT-10,demos.XY$Builder,exec_25,10,15.95899964758838
PT-10,demos.XY$Builder,exec_25,11,15.927864443462582
PT-10,demos.XY$Builder,exec_25,12,15.95964890527954
PT-10,demos.XY$Builder,exec_25,13,15.946193580303257
PT-10,demos.XY$Builder,exec_25,14,15.9472272855304
PT-20,demos.AnnealedMVN$Builder,exec_15,0,4.2799593959588
PT-20,demos.AnnealedMVN$Builder,exec_15,1,4.37955707394271
PT-20,demos.AnnealedMVN$Builder,exec_15,2,3.7493257725846822
PT-20,demos.AnnealedMVN$Builder,exec_15,3,4.0774187085823215
PT-20,demos.AnnealedMVN$Builder,exec_15,4,4.015750850511372
PT-20,demos.AnnealedMVN$Builder,exec_15,5,3.950480383295421
PT-20,demos.AnnealedMVN$Builder,exec_15,6,3.9677113236546964
PT-20,demos.AnnealedMVN$Builder,exec_15,7,3.9753247888269216
PT-20,demos.AnnealedMVN$Builder,exec_15,8,3.9735326408713636
PT-20,demos.AnnealedMVN$Builder,exec_15,9,4.029326234894354
PT-20,demos.AnnealedMVN$Builder,exec_15,10,4.010512242415432
PT-20,demos.AnnealedMVN$Builder,exec_15,11,4.041084108268705
PT-20,demos.AnnealedMVN$Builder,exec_15,12,4.026668506582304
PT-20,demos.AnnealedMVN$Builder,exec_15,13,4.029668175863291
PT-20,hier.HierarchicalRockets$Builder,exec_39,0,-1585.529997979345
PT-20,hier.HierarchicalRockets$Builder,exec_39,1,-480.7327126059066
PT-20,hier.HierarchicalRockets$Builder,exec_39,2,-569.4393671881774
PT-20,hier.HierarchicalRockets$Builder,exec_39,3,-467.62429956578353
PT-20,hier.HierarchicalRockets$Builder,exec_39,4,-477.34562692970053
PT-20,hier.HierarchicalRockets$Builder,exec_39,5,-476.105125693683
