method,model,execFolder,isAdapt,round,chain,value
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,81,0.209034965445756
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,82,0.2212652669733555
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,83,0.2344063904586111
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,84,0.2485260436733451
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,85,0.2634401369807435
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,86,0.28037733089746125
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,87,0.3033156772137896
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,88,0.3267732968221
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,89,0.34896599921964105
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,90,0.37103817038166387
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,91,0.396153966331008
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,92,0.42427498950148135
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,93,0.457511277787967
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,94,0.49798136423111994
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,95,0.5366047709152001
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,96,0.5825434853150739
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,97,0.6367840404401832
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,98,0.6852990469586907
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,99,0.7359731630793597
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,100,0.794997595985769
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,101,0.860282567280215
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,102,0.9291697820643352
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,103,1.0
SSMC,ode.MRNATransfection$Builder,exec_20,false,9,0,0.0
SSMC,ode.MRNATransfection$Builder,exec_20,false,9,1,2.1832099741859576E-13
SSMC,ode.MRNATransfection$Builder,exec_20,false,9,2,3.837762313138782E-13
SSMC,ode.MRNATransfection$Builder,exec_20,false,9,3,5.720173215677695E-13
SSMC,ode.MRNATransfection$Builder,exec_20,false,9,4,8.586958880621926E-13
SSMC,ode.MRNATransfection$Builder,exec_20,false,9,5,1.3194635506790696E-12
SSMC,ode.MRNATransfection$Builder,exec_20,false,9,6,2.0299719293003213E-12
SSMC,ode.MRNATransfection$Builder,exec_20,false,9,7,3.0658726438078714E-12
SSMC,ode.MRNATransfection$Builder,exec_20,false,9,8,4.502817314083643E-12
SSMC,ode.MRNATransfection$Builder,exec_20,false,9,9,1.0589696797662724E-11
SSMC,ode.MRNATransfection$Builder,exec_20,false,9,10,3.745602846813306E-11
SSMC,ode.MRNATransfection$Builder,exec_20,false,9,11,7.631790687876502E-11
SSMC,ode.MRNATransfection$Builder,exec_20,false,9,12,1.0963693680160434E-10
