method,model,execFolder,round,isAdapt,beta,value
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.02,2.22240878953567
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.03,2.3428652644539154
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.04,2.456316598559954
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.05,2.5629859064495486
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.06,2.6630963027184587
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.07,2.7568709019624484
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.08,2.8445328187772794
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.09,2.9263051677587124
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.1,3.002411063502511
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.11,3.0730736206044362
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.12,3.13851595366025
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.13,3.1989611772657147
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.14,3.2546324060165914
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.15,3.3057527545086427
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.16,3.352545337337631
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.17,3.3952332690993163
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.18,3.434039664389463
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.19,3.4691876378038318
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.2,3.5009003039381845
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.21,3.529400777388284
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.22,3.5549121727498907
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.23,3.577657604618768
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.24,3.597860187590677
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.25,3.615743036261379
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.26,3.631529265226637
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.27,3.645441989082214
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.28,3.6577043224238697
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.29,3.6685393798473673
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.3,3.6781702759484673
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.31,3.686820125322934
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.32,3.694712042566528
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.33,3.7020691422750107
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.34,3.709114539044145
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.35,3.7160713474696916
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.36,3.723162682147414
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.37,3.730611657673074
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.38,3.738641388642432
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.39,3.7466911321564673
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.4,3.7528322579969577
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.41,3.757478796345495
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.42,3.7612025738676427
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.43,3.7645754172289614
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.44,3.7681691530950143
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.45,3.772555608131363
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.46,3.77830660900357
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.47,3.7859939823771986
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.48,3.7961895549178095
