method,model,execFolder,round,isAdapt,nExplorationSteps,value
PT-10,hier.HierarchicalRockets$Builder,exec_42,13,true,226724670,500389
PT-10,hier.HierarchicalRockets$Builder,exec_42,14,false,453427200,995652
SAIS,glms.SpikeSlabClassification$Builder,exec_47,0,true,1425.0,463
SAIS,glms.SpikeSlabClassification$Builder,exec_47,1,true,3648.0,413
SAIS,glms.SpikeSlabClassification$Builder,exec_47,2,true,8208.0,954
SAIS,glms.SpikeSlabClassification$Builder,exec_47,3,true,16473.0,1810
SAIS,glms.SpikeSlabClassification$Builder,exec_47,4,true,35625.0,3956
SAIS,glms.SpikeSlabClassification$Builder,exec_47,5,true,73872.0,8179
SAIS,glms.SpikeSlabClassification$Builder,exec_47,6,true,148257.0,15971
SAIS,glms.SpikeSlabClassification$Builder,exec_47,7,true,303753.0,32498
SAIS,glms.SpikeSlabClassification$Builder,exec_47,8,true,616512.0,65859
SAIS,glms.SpikeSlabClassification$Builder,exec_47,9,true,1248528.0,132242
SAIS,glms.SpikeSlabClassification$Builder,exec_47,10,true,2513700.0,268049
SAIS,glms.SpikeSlabClassification$Builder,exec_47,11,true,5027913.0,535924
SAIS,glms.SpikeSlabClassification$Builder,exec_47,12,true,1.0102737E7,1073068
SAIS,glms.SpikeSlabClassification$Builder,exec_47,13,true,2.0247312E7,2150002
SAIS,glms.SpikeSlabClassification$Builder,exec_47,14,false,4.0506993E7,4298363
SSMC,hier.HierarchicalRockets$Builder,exec_43,0,true,27675.0,735
SSMC,hier.HierarchicalRockets$Builder,exec_43,1,true,70848.0,573
SSMC,hier.HierarchicalRockets$Builder,exec_43,2,true,159408.0,638
SSMC,hier.HierarchicalRockets$Builder,exec_43,3,true,319923.0,1050
SSMC,hier.HierarchicalRockets$Builder,exec_43,4,true,691875.0,1952
SSMC,hier.HierarchicalRockets$Builder,exec_43,5,true,1434672.0,3600
SSMC,hier.HierarchicalRockets$Builder,exec_43,6,true,2879307.0,7996
SSMC,hier.HierarchicalRockets$Builder,exec_43,7,true,5899203.0,15716
SSMC,hier.HierarchicalRockets$Builder,exec_43,8,true,1.1973312E7,30288
SSMC,hier.HierarchicalRockets$Builder,exec_43,9,true,2.4247728E7,58220
SSMC,hier.HierarchicalRockets$Builder,exec_43,10,true,4.88187E7,77932
SSMC,hier.HierarchicalRockets$Builder,exec_43,11,true,9.7647363E7,154914
SSMC,hier.HierarchicalRockets$Builder,exec_43,12,true,1.96205787E8,306564
SSMC,hier.HierarchicalRockets$Builder,exec_43,13,true,3.93224112E8,609567
SSMC,hier.HierarchicalRockets$Builder,exec_43,14,false,7.86688443E8,1213390
PT-20,blang.validation.internals.fixtures.Ising$Builder,exec_22,0,true,4500,153
PT-20,blang.validation.internals.fixtures.Ising$Builder,exec_22,1,true,7500,155
PT-20,blang.validation.internals.fixtures.Ising$Builder,exec_22,2,true,15000,173
PT-20,blang.validation.internals.fixtures.Ising$Builder,exec_22,3,true,30000,123
PT-20,blang.validation.internals.fixtures.Ising$Builder,exec_22,4,true,60000,128
PT-20,blang.validation.internals.fixtures.Ising$Builder,exec_22,5,true,120000,213
PT-20,blang.validation.internals.fixtures.Ising$Builder,exec_22,6,true,240000,374
PT-20,blang.validation.internals.fixtures.Ising$Builder,exec_22,7,true,480000,625
PT-20,blang.validation.internals.fixtures.Ising$Builder,exec_22,8,true,960000,1002
PT-20,blang.validation.internals.fixtures.Ising$Builder,exec_22,9,true,1920000,1982
PT-20,blang.validation.internals.fixtures.Ising$Builder,exec_22,10,true,3840000,3939
PT-20,blang.validation.internals.fixtures.Ising$Builder,exec_22,11,true,7681500,7869
PT-20,blang.validation.internals.fixtures.Ising$Builder,exec_22,12,true,15361500,15855
PT-20,blang.validation.internals.fixtures.Ising$Builder,exec_22,13,false,30720000,31038
SSMC,demos.PhylogeneticTree$Builder,exec_35,0,true,300.0,373
SSMC,demos.PhylogeneticTree$Builder,exec_35,1,true,768.0,484
SSMC,demos.PhylogeneticTree$Builder,exec_35,2,true,1728.0,670
SSMC,demos.PhylogeneticTree$Builder,exec_35,3,true,3468.0,557
